date,ChatGPT,Google,Bard
2025-01-26,25,95,0
2025-02-02,26,85,0
2025-02-09,26,89,0
2025-02-16,26,87,0
2025-02-23,27,88,0
2025-03-02,27,86,0
2025-03-09,27,86,0
2025-03-16,29,92,0
2025-03-23,31,86,0
2025-03-30,45,83,0
2025-04-06,36,85,0
2025-04-13,32,83,0
2025-04-20,32,83,0
2025-04-27,34,83,0
2025-05-04,35,86,0
2025-05-11,36,87,0
2025-05-18,37,86,0
2025-05-25,35,79,0
2025-06-01,37,86,0
2025-06-08,39,83,0
2025-06-15,37,82,0
2025-06-22,38,79,0
2025-06-29,36,79,0
2025-07-06,36,78,0
2025-07-13,35,80,0
2025-07-20,37,77,0
2025-07-27,36,79,0
2025-08-03,40,84,0
2025-08-10,40,83,0
2025-08-17,44,90,0
2025-08-24,43,88,0
2025-08-31,43,91,0
2025-09-07,46,97,0
2025-09-14,47,100,0
2025-09-21,46,100,0
2025-09-28,42,92,0
2025-10-05,45,90,0
2025-10-12,44,93,0
2025-10-19,43,89,0
2025-10-26,43,88,0
2025-11-02,45,89,0
2025-11-09,46,90,0
2025-11-16,46,93,0
2025-11-23,39,87,0
2025-11-30,41,88,0
2025-12-07,39,88,0
2025-12-14,39,91,0
2025-12-21,30,76,0
2025-12-28,30,76,0
2026-01-04,36,84,0
2026-01-11,38,87,0
2026-01-18,39,82,0
2026-01-25,40,90,0
